"Player","Team","Points","Cost"
"Bella-Kotchap","Southampton",16,"£4.5"
"R.Sessegnon","Tottenham",31,"£4.5"
"Zouma","West Ham",46,"£4.5"
"Masuaku","West Ham",0,"£4.5"
"Kilman","Wolves",40,"£4.5"
"Collins","Wolves",28,"£4.5"
"Martínez","Manchester Utd",36,"£4.5"
"Senesi","Bournemouth",17,"£4.5"
"Estupiñán","Brighton",23,"£4.5"
"Sergio Gómez","Manchester City",7,"£4.5"
"Kehrer","West Ham",32,"£4.5"
"Faes","Leicester",32,"£4.5"
"Badé","Nottingham Forest",0,"£4.5"
"Caleta-Car","Southampton",15,"£4.5"
"Aurier","Nottingham Forest",15,"£4.5"
"Hause","Aston Villa",0,"£4.4"
"Konsa","Aston Villa",31,"£4.4"
"Smith","Bournemouth",30,"£4.4"
"Fredericks","Bournemouth",9,"£4.4"
"Mepham","Bournemouth",24,"£4.4"
"Zemura","Bournemouth",25,"£4.4"
"Pinnock","Brentford",14,"£4.4"
"Ampadu","Chelsea",0,"£4.4"
"Guéhi","Crystal Palace",28,"£4.4"
"Tarkowski","Everton",40,"£4.4"
"Bryan","Fulham",0,"£4.4"
"Tete","Fulham",20,"£4.4"
"Robinson","Fulham",24,"£4.4"
"Cooper","Leeds",19,"£4.4"
"Llorente","Leeds",15,"£4.4"
"Evans","Leicester",11,"£4.4"
"Fernández","Newcastle",0,"£4.4"
"Lewis","Newcastle",1,"£4.4"
"Botman","Newcastle",48,"£4.4"
"Cook","Nottingham Forest",20,"£4.4"
"McKenna","Nottingham Forest",24,"£4.4"
"Walker-Peters","Southampton",24,"£4.4"
"Lyanco","Southampton",6,"£4.4"
"Perraud","Southampton",42,"£4.4"
"Livramento","Southampton",0,"£4.4"
"Salisu","Southampton",23,"£4.4"
"Ogbonna","West Ham",2,"£4.4"
"Johnson","West Ham",16,"£4.4"
"Jonny","Wolves",31,"£4.4"
"Richards","Nottingham Forest",0,"£4.4"
"Richards","Crystal Palace",2,"£4.4"
"Young","Aston Villa",35,"£4.4"
"Hill","Bournemouth",0,"£4.4"
"Colwill","Brighton",2,"£4.4"
"Mings","Aston Villa",33,"£4.3"
"Stacey","Bournemouth",4,"£4.3"
"Kelly","Bournemouth",23,"£4.3"
"Roerslev","Brentford",15,"£4.3"
"Duffy","Fulham",4,"£4.3"
"Mina","Everton",1,"£4.3"
"Holgate","Everton",12,"£4.3"
"Godfrey","Everton",1,"£4.3"
"Ricardo","Leicester",0,"£4.3"
"Amartey","Leicester",34,"£4.3"
"Justin","Leicester",45,"£4.3"
"Fofana","Chelsea",4,"£4.3"
"Lindelöf","Manchester Utd",4,"£4.3"
"Wan-Bissaka","Manchester Utd",1,"£4.3"
"Lascelles","Newcastle",3,"£4.3"
"Krafth","Newcastle",1,"£4.3"
"Stephens","Bournemouth",3,"£4.3"
"Sánchez","Tottenham",18,"£4.3"
"Diop","Fulham",25,"£4.3"
"Niakhaté","Nottingham Forest",7,"£4.3"
"Toffolo","Nottingham Forest",17,"£4.3"
"Augustinsson","Aston Villa",0,"£4.3"
"Vinagre","Everton",2,"£4.3"
"Mbabu","Fulham",7,"£4.3"
"Renan Lodi","Nottingham Forest",2,"£4.3"
