Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
388,Thiago Silva,br BRA,DF,Chelsea,38-043,1984,10,10,900,10.0,0,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.3,0.3,0.4,0.6,0.03,0.04,0.06,0.03,0.06,Matches,86e7deaf
389,Luis Sinisterra,co COL,MF,Leeds United,23-140,1999,9,6,453,5.0,2,0,2,0,0,3,1,0.40,0.00,0.40,0.40,0.40,1.5,1.5,0.2,1.7,0.29,0.04,0.34,0.29,0.34,Matches,8e16dd48
390,Oliver Skipp,eng ENG,MF,Tottenham,22-049,2000,6,2,130,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.04,0.17,0.21,0.04,0.21,Matches,6250083a
391,Adam Smith,eng ENG,DF,Bournemouth,31-189,1991,13,13,1125,12.5,0,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,0.4,0.4,0.3,0.7,0.03,0.03,0.06,0.03,0.06,Matches,20b104bc
392,Emile Smith Rowe,eng ENG,MF,Arsenal,22-099,2000,4,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.16,0.50,0.66,0.16,0.66,Matches,17695062
393,Cédric Soares,pt POR,DF,Arsenal,31-065,1991,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,839c14e1
394,Dominic Solanke,eng ENG,FWMF,Bournemouth,25-051,1997,11,10,891,9.9,2,3,2,0,0,0,0,0.20,0.30,0.51,0.20,0.51,1.7,1.7,1.0,2.7,0.17,0.10,0.28,0.17,0.28,Matches,e77dc3b2
395,Manor Solomon,il ISR,MF,Fulham,23-103,1999,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,886f9aac
396,Tomáš Sou?ek,cz CZE,MF,West Ham,27-250,1995,13,13,1170,13.0,1,1,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,2.4,2.4,0.6,3.1,0.19,0.05,0.23,0.19,0.23,Matches,6613c819
397,Boubakary Soumaré,fr FRA,MF,Leicester City,23-250,1999,9,7,531,5.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.01,0.01,0.01,Matches,ae59b359
398,Ça?lar Söyüncü,tr TUR,DF,Leicester City,26-165,1996,1,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,21166ff4
399,Djed Spence,eng ENG,DFMF,Tottenham,22-087,2000,3,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.45,0.00,1.45,1.45,1.45,Matches,9bc9a519
400,Jack Stacey,eng ENG,DFMF,Bournemouth,26-212,1996,5,1,116,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,558807c0
401,Junior Stanislas,eng ENG,MF,Bournemouth,32-343,1989,3,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.06,0.20,0.26,0.06,0.26,Matches,6992791d
402,Jay Stansfield,eng ENG,MF,Fulham,19-345,2002,3,1,87,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.3,0.26,0.09,0.35,0.26,0.35,Matches,b2626673
403,Jack Stephens,eng ENG,DF,Southampton,28-281,1994,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6adbc307
404,Jack Stephens,eng ENG,DFMF,Bournemouth,28-281,1994,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6adbc307
405,Raheem Sterling,eng ENG,FWMF,Chelsea,27-331,1994,11,10,860,9.6,3,1,3,0,0,2,0,0.31,0.10,0.42,0.31,0.42,3.0,3.0,2.1,5.1,0.31,0.21,0.53,0.31,0.53,Matches,b400bde0
406,John Stones,eng ENG,DF,Manchester City,28-160,1994,7,6,551,6.1,0,2,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.2,0.2,1.1,1.3,0.04,0.18,0.22,0.04,0.22,Matches,5eecec3d
407,Pascal Struijk,nl NED,DF,Leeds United,23-085,1999,11,11,984,10.9,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.8,0.8,2.1,2.9,0.07,0.19,0.26,0.07,0.26,Matches,f4d296e4
408,Crysencio Summerville,nl NED,MF,Leeds United,21-005,2001,8,2,293,3.3,2,0,2,0,0,1,0,0.61,0.00,0.61,0.61,0.61,0.5,0.5,0.0,0.6,0.16,0.01,0.18,0.16,0.18,Matches,df04eb4b
409,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-099,1998,6,1,125,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.12,0.04,0.16,0.12,0.16,Matches,b017b770
410,Matt Targett,eng ENG,DF,Newcastle Utd,27-047,1995,9,4,422,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.07,0.07,0.00,0.07,Matches,e514ab62
411,James Tarkowski,eng ENG,DF,Everton,29-350,1992,13,13,1170,13.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.7,1.4,0.05,0.05,0.11,0.05,0.11,Matches,15ea812b
412,Marcus Tavernier,eng ENG,MFDF,Bournemouth,23-227,1999,13,13,1114,12.4,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,0.9,0.9,0.9,1.8,0.07,0.08,0.15,0.07,0.15,Matches,5c0da4a4
413,Kenny Tete,nl NED,DF,Fulham,27-026,1995,8,7,618,6.9,0,3,0,0,0,4,0,0.00,0.44,0.44,0.00,0.44,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches,77d7c96f
414,Luke Thomas,eng ENG,DF,Leicester City,21-147,2001,3,2,183,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fc027d02
415,Youri Tielemans,be BEL,MF,Leicester City,25-181,1997,13,12,1022,11.4,2,1,1,1,1,1,0,0.18,0.09,0.26,0.09,0.18,1.1,0.3,2.0,2.3,0.10,0.18,0.27,0.03,0.21,Matches,56f7a928
416,Kieran Tierney,sct SCO,DF,Arsenal,25-152,1997,11,3,341,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.07,0.03,0.10,0.07,0.10,Matches,fce2302c
417,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-077,1995,8,6,577,6.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.02,0.07,0.09,0.02,0.09,Matches,a105d46a
