Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MF,Leeds United,22-013,2000,12,12,1014,11.3,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,1.8,1.8,2.4,4.2,0.16,0.22,0.37,0.16,0.37,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-114,1996,12,10,913,10.1,3,1,3,0,0,0,0,0.30,0.10,0.39,0.30,0.39,3.1,3.1,1.4,4.5,0.31,0.14,0.45,0.31,0.45,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,23-263,1999,11,11,990,11.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.9,0.9,0.00,0.08,0.08,0.00,0.08,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-041,1997,10,10,900,10.0,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,0.1,0.1,0.0,0.2,0.01,0.00,0.02,0.01,0.02,Matches,c81d773d
5,Rayan Aït Nouri,fr FRA,DF,Wolves,21-151,2001,9,7,649,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.2,0.05,0.12,0.16,0.05,0.16,Matches,9b398aea
6,Kristoffer Ajer,no NOR,DF,Brentford,24-201,1998,6,6,502,5.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,a8c0acb7
7,Manuel Akanji,ch SUI,DF,Manchester City,27-108,1995,6,6,521,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.05,0.00,0.05,0.05,0.05,Matches,89ac64a6
8,Nathan Aké,nl NED,DF,Manchester City,27-259,1995,7,6,481,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,eaeca114
9,Marc Albrighton,eng ENG,MF,Leicester City,32-351,1989,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.22,0.00,0.22,0.22,0.22,Matches,b827d5b3
10,Thiago Alcántara,es ESP,MF,Liverpool,31-207,1991,6,6,464,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.01,0.07,0.08,0.01,0.08,Matches,77e84962
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-028,1998,12,10,813,9.0,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,1.0,1.0,1.9,2.9,0.11,0.21,0.33,0.11,0.33,Matches,cd1acf9d
12,Alisson,br BRA,GK,Liverpool,30-033,1992,12,12,1080,12.0,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,Matches,7a2e46a8
13,Dele Alli,eng ENG,MF,Everton,26-207,1996,2,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,cea4ee8f
14,Miguel Almirón,py PAR,FW,Newcastle Utd,28-267,1994,13,13,1085,12.1,7,0,7,0,0,0,0,0.58,0.00,0.58,0.58,0.58,4.2,4.2,0.7,4.9,0.35,0.06,0.40,0.35,0.40,Matches,862a1c15
15,Julián Álvarez,ar ARG,FWMF,Manchester City,22-277,2000,10,2,296,3.3,2,0,2,0,0,0,0,0.61,0.00,0.61,0.61,0.61,0.8,0.8,0.3,1.1,0.25,0.10,0.34,0.25,0.34,Matches,15ab5a2b
16,Daniel Amartey,gh GHA,DF,Leicester City,27-318,1994,10,8,735,8.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.04,0.04,0.00,0.04,Matches,1a4ef233
17,Joachim Andersen,dk DEN,DF,Crystal Palace,26-157,1996,11,11,990,11.0,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,0.4,1.2,0.08,0.03,0.11,0.08,0.11,Matches,e34fc66d
18,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,19-363,2002,6,0,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,1.0,0.46,0.49,0.96,0.46,0.96,Matches,de31038e
19,Jaidon Anthony,eng ENG,MFDF,Bournemouth,22-338,1999,9,1,249,2.8,1,0,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.5,0.5,0.1,0.5,0.17,0.03,0.20,0.17,0.20,Matches,e4238fb1
20,Michail Antonio,jm JAM,FW,West Ham,32-221,1990,13,6,562,6.2,2,1,2,0,0,1,0,0.32,0.16,0.48,0.32,0.48,2.0,2.0,0.4,2.4,0.32,0.07,0.39,0.32,0.39,Matches,ac05f970
21,Antony,br BRA,MF,Manchester Utd,22-253,2000,6,6,491,5.5,3,0,3,0,0,1,0,0.55,0.00,0.55,0.55,0.55,1.6,1.6,0.4,2.0,0.30,0.07,0.37,0.30,0.37,Matches,99127249
22,Cameron Archer,eng ENG,MF,Aston Villa,20-330,2001,5,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,05e8ca6d
23,Alphonse Areola,fr FRA,GK,West Ham,29-250,1993,2,0,107,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2f965a72
24,Joe Aribo,ng NGA,MFFW,Southampton,26-106,1996,13,10,908,10.1,2,0,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20,1.4,1.4,0.8,2.2,0.14,0.08,0.22,0.14,0.22,Matches,328f7d51
25,Adam Armstrong,eng ENG,FWMF,Southampton,25-267,1997,12,10,785,8.7,1,1,1,0,0,0,0,0.11,0.11,0.23,0.11,0.23,0.9,0.9,0.6,1.5,0.11,0.07,0.17,0.11,0.17,Matches,68c720b5
26,Stuart Armstrong,sct SCO,MF,Southampton,30-219,1992,12,5,569,6.3,1,0,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,1.0,1.0,0.9,1.9,0.16,0.14,0.30,0.16,0.30,Matches,97333cf5
27,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-032,1994,6,6,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
28,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-139,1989,5,3,242,2.7,1,0,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,0.2,0.2,0.3,0.5,0.07,0.13,0.20,0.07,0.20,Matches,d5dd5f1f
29,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-197,1994,1,1,44,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9fec8860
30,Serge Aurier,ci CIV,DF,Nott'ham Forest,29-315,1992,5,4,350,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches,5c2b4f07
31,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-084,1997,12,6,500,5.6,3,0,3,0,0,0,0,0.54,0.00,0.54,0.54,0.54,3.3,3.3,0.7,4.0,0.60,0.12,0.72,0.60,0.72,Matches,e5478b87
32,Jordan Ayew,gh GHA,MFFW,Crystal Palace,31-054,1991,12,9,756,8.4,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0.7,0.7,1.1,1.7,0.08,0.13,0.21,0.08,0.21,Matches,da052c14
33,Luke Ayling,eng ENG,DF,Leeds United,31-071,1991,5,1,142,1.6,0,1,0,0,0,0,0,0.00,0.63,0.63,0.00,0.63,0.2,0.2,0.1,0.3,0.10,0.08,0.18,0.10,0.18,Matches,420d7c7d
34,César Azpilicueta,es ESP,DF,Chelsea,33-068,1989,9,5,537,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.9,0.02,0.12,0.14,0.02,0.14,Matches,53cad200
35,Leon Bailey,jm JAM,MFFW,Aston Villa,25-087,1997,12,10,741,8.2,2,2,2,0,0,2,0,0.24,0.24,0.49,0.24,0.49,1.6,1.6,1.9,3.5,0.19,0.24,0.43,0.19,0.43,Matches,3a233281
36,Stefan Bajcetic,es ESP,MF,Liverpool,18-013,2004,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,32e8417f
37,Patrick Bamford,eng ENG,FWMF,Leeds United,29-060,1993,10,4,429,4.8,0,1,0,0,1,0,0,0.00,0.21,0.21,0.00,0.21,4.1,3.3,0.3,3.6,0.86,0.06,0.93,0.70,0.76,Matches,93feac6e
38,Shandon Baptiste,gd GRN,MF,Brentford,24-210,1998,12,4,431,4.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.9,0.04,0.15,0.19,0.04,0.19,Matches,2886c9b5
39,Harvey Barnes,eng ENG,MFFW,Leicester City,24-330,1997,11,11,906,10.1,4,0,4,0,0,0,0,0.40,0.00,0.40,0.40,0.40,2.3,2.3,0.4,2.7,0.23,0.04,0.27,0.23,0.27,Matches,3ea50f67
40,Gavin Bazunu,ie IRL,GK,Southampton,20-257,2002,13,13,1170,13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,c91441dc
41,Mads Bech Sørensen,dk DEN,DFMF,Brentford,23-301,1999,3,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,30db8574
42,Jan Bednarek,pl POL,DF,Southampton,26-206,1996,2,2,159,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.03,0.04,0.07,0.03,0.07,Matches,4115ce4e
43,Jan Bednarek,pl POL,DF,Aston Villa,26-206,1996,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4115ce4e
44,Donny van de Beek,nl NED,MF,Manchester Utd,25-200,1997,3,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,50dc94ce
45,Asmir Begovi?,ba BIH,GK,Everton,35-137,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7b4de647
46,Armel Bella Kotchap,de GER,DF,Southampton,20-328,2001,9,9,761,8.5,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.7,0.7,0.1,0.8,0.08,0.01,0.09,0.08,0.09,Matches,a39d11bc
47,Saïd Benrahma,dz ALG,MFFW,West Ham,27-086,1995,11,5,598,6.6,1,1,0,1,1,0,0,0.15,0.15,0.30,0.00,0.15,2.0,1.2,1.0,2.2,0.29,0.15,0.44,0.18,0.32,Matches,5a04fd92
48,Rodrigo Bentancur,uy URU,MF,Tottenham,25-132,1997,12,11,1002,11.1,2,2,2,0,0,4,0,0.18,0.18,0.36,0.18,0.36,1.0,1.0,0.8,1.7,0.09,0.07,0.15,0.09,0.15,Matches,3b8674e6
49,Owen Bevan,wls WAL,DF,Bournemouth,19-009,2003,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,87966294
50,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22-218,2000,2,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,de40e38c
51,Philip Billing,dk DEN,MFFW,Bournemouth,26-146,1996,13,11,959,10.7,3,1,3,0,0,1,0,0.28,0.09,0.38,0.28,0.38,0.7,0.7,0.7,1.4,0.07,0.07,0.13,0.07,0.13,Matches,d328a254
52,Yves Bissouma,ml MLI,MF,Tottenham,26-066,1996,12,5,497,5.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches,6c203af0
53,Willy Boly,ci CIV,DF,Nott'ham Forest,31-274,1991,1,1,62,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a4ac4b8f
54,Sven Botman,nl NED,DF,Newcastle Utd,22-296,2000,11,10,881,9.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.2,0.03,0.09,0.12,0.03,0.12,Matches,ccce7025
55,Jarrod Bowen,eng ENG,MFFW,West Ham,25-319,1996,13,13,1160,12.9,2,0,1,1,2,0,0,0.16,0.00,0.16,0.08,0.08,4.1,3.0,1.5,4.6,0.32,0.12,0.44,0.23,0.35,Matches,79c84d1c
56,Armando Broja,al ALB,FW,Chelsea,21-055,2001,10,1,195,2.2,1,0,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46,0.7,0.7,0.0,0.7,0.34,0.00,0.34,0.34,0.34,Matches,97220da2
57,Bryan,es ESP,MF,Tottenham,21-266,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7b5ab7f2
58,Emi Buendía,ar ARG,MFFW,Aston Villa,25-314,1996,13,5,575,6.4,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,2.2,2.2,0.8,3.0,0.35,0.13,0.48,0.35,0.48,Matches,66b76d44
59,Hugo Bueno,es ESP,DF,Wolves,20-047,2002,4,3,271,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.3,0.4,0.02,0.10,0.12,0.02,0.12,Matches,bfc3b3a0
60,Dan Burn,eng ENG,DF,Newcastle Utd,30-179,1992,13,12,1044,11.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04,Matches,b2d31e83
61,Cafú,pt POR,MF,Nott'ham Forest,29-251,1993,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,85322440
62,Moisés Caicedo,ec ECU,MF,Brighton,21-002,2001,12,12,1065,11.8,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.8,0.8,0.8,1.6,0.06,0.07,0.13,0.06,0.13,Matches,16264a81
63,Tom Cairney,sct SCO,MF,Fulham,31-288,1991,13,0,239,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.14,0.13,0.28,0.14,0.28,Matches,a8748947
64,Duje ?aleta-Car,hr CRO,DF,Southampton,26-048,1996,5,4,409,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.01,0.05,0.05,0.05,Matches,94f8d10c
65,Dominic Calvert-Lewin,eng ENG,FW,Everton,25-233,1997,5,3,279,3.1,1,0,1,0,0,1,0,0.32,0.00,0.32,0.32,0.32,1.0,1.0,0.0,1.0,0.31,0.00,0.31,0.31,0.31,Matches,59e6e5bf
66,Chem Campbell,wls WAL,MFFW,Wolves,19-309,2002,5,0,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.12,0.00,0.12,0.12,0.12,Matches,6f711f67
67,João Cancelo,pt POR,DF,Manchester City,28-161,1994,12,12,1006,11.2,2,1,2,0,0,2,0,0.18,0.09,0.27,0.18,0.27,0.5,0.5,0.8,1.3,0.05,0.07,0.12,0.05,0.12,Matches,bd6351cd
68,Sergi Canós,es ESP,DFFW,Brentford,25-275,1997,3,0,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches,1137759d
69,Diego Carlos,br BRA,DF,Aston Villa,29-234,1993,2,2,179,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.18,0.00,0.18,0.18,0.18,Matches,b4a014b1
70,Fabio Carvalho,pt POR,MFFW,Liverpool,20-066,2002,10,4,333,3.7,2,0,2,0,0,0,0,0.54,0.00,0.54,0.54,0.54,1.1,1.1,0.1,1.2,0.30,0.03,0.33,0.30,0.33,Matches,966e28d0
71,Casemiro,br BRA,MF,Manchester Utd,30-254,1992,9,5,532,5.9,1,1,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,0.5,0.5,0.8,1.2,0.08,0.13,0.21,0.08,0.21,Matches,4d224fe8
72,Matty Cash,pl POL,DF,Aston Villa,25-089,1997,11,10,848,9.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.02,0.04,0.06,0.02,0.06,Matches,2389cdc2
73,Timothy Castagne,be BEL,DF,Leicester City,26-334,1995,12,11,1011,11.2,1,2,1,0,0,0,0,0.09,0.18,0.27,0.09,0.27,1.1,1.1,1.0,2.1,0.10,0.09,0.18,0.10,0.18,Matches,197640fd
74,Jonny Castro,es ESP,DF,Wolves,28-246,1994,11,11,934,10.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.02,0.03,0.06,0.02,0.06,Matches,e28868f3
75,Julio César Enciso,py PAR,MF,Brighton,18-285,2004,1,0,26,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,1.21,0.00,1.21,1.21,1.21,Matches,9cfbad36
76,Nathaniel Chalobah,eng ENG,MF,Fulham,27-327,1994,3,1,11,0.1,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.77,0.00,0.77,0.77,0.77,Matches,422862ea
77,Trevoh Chalobah,eng ENG,DF,Chelsea,23-122,1999,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.06,0.00,0.06,0.06,0.06,Matches,5515376c
78,Calum Chambers,eng ENG,DF,Aston Villa,27-288,1995,3,1,101,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dc6f5bdd
79,Ben Chilwell,eng ENG,DFMF,Chelsea,25-318,1996,9,4,419,4.7,1,1,1,0,0,1,0,0.21,0.21,0.43,0.21,0.43,0.3,0.3,0.1,0.5,0.07,0.03,0.10,0.07,0.10,Matches,d2424d1b
80,Ryan Christie,sct SCO,MF,Bournemouth,27-255,1995,12,9,707,7.9,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,1.3,1.3,0.3,1.6,0.17,0.04,0.21,0.17,0.21,Matches,26ce2263
81,Carney Chukwuemeka,eng ENG,MF,Chelsea,19-015,2003,3,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.17,0.05,0.22,0.17,0.22,Matches,b2f9c73e
82,Bobby Clark,eng ENG,MF,Liverpool,17-270,2005,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,73341ace
83,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31-213,1991,6,5,413,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches,0442183b
84,Conor Coady,eng ENG,DF,Everton,29-252,1993,12,12,1070,11.9,1,1,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,0.6,0.6,0.3,0.9,0.05,0.02,0.07,0.05,0.07,Matches,2928dca2
85,Jack Colback,eng ENG,MF,Nott'ham Forest,33-011,1989,3,1,127,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.11,0.11,0.00,0.11,Matches,963a9201
86,Séamus Coleman,ie IRL,DF,Everton,34-024,1988,6,6,473,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.03,0.04,0.07,0.03,0.07,Matches,0420d84f
87,Nathan Collins,ie IRL,DF,Wolves,21-188,2001,10,10,842,9.4,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,a8c19eb8
88,Levi Colwill,eng ENG,DFMF,Brighton,19-251,2003,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,700783e7
89,Lewis Cook,eng ENG,MF,Bournemouth,25-274,1997,13,11,1013,11.3,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,1.2,1.3,0.01,0.11,0.12,0.01,0.12,Matches,2afc7272
90,Steve Cook,eng ENG,DF,Nott'ham Forest,31-199,1991,11,10,868,9.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.06,0.07,0.01,0.07,Matches,3e5e4e63
91,Liam Cooper,sct SCO,DF,Leeds United,31-066,1991,6,5,495,5.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.04,0.08,0.12,0.04,0.12,Matches,dc64b8b3
92,Maxwel Cornet,ci CIV,MFFW,West Ham,26-038,1996,5,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.53,0.00,0.53,0.53,0.53,Matches,beb391dd
93,Diego Costa,es ESP,FW,Wolves,34-028,1988,6,5,412,4.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.2,1.8,0.37,0.04,0.40,0.37,0.40,Matches,a190d597
94,Vladimír Coufal,cz CZE,DFMF,West Ham,30-074,1992,9,7,685,7.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.08,0.10,0.01,0.10,Matches,fdf3cb77
95,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-145,1992,12,6,571,6.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.3,0.16,0.05,0.20,0.16,0.20,Matches,0ef89a37
96,Conor Coventry,ie IRL,MFFW,West Ham,22-224,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a5ca9127
97,Aaron Cresswell,eng ENG,DF,West Ham,32-324,1989,12,12,1060,11.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,2.2,2.4,0.02,0.19,0.21,0.02,0.21,Matches,4f974391
98,Marc Cucurella,es ESP,DF,Chelsea,24-105,1998,11,10,739,8.2,0,2,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,0.3,0.3,0.3,0.6,0.03,0.03,0.07,0.03,0.07,Matches,1daec722
99,Patson Daka,zm ZAM,FW,Leicester City,24-026,1998,12,5,505,5.6,3,1,3,0,0,2,0,0.53,0.18,0.71,0.53,0.71,1.7,1.7,1.5,3.2,0.30,0.27,0.57,0.30,0.57,Matches,ca45605e
100,Diogo Dalot,pt POR,DF,Manchester Utd,23-231,1999,12,12,1075,11.9,0,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,1.3,1.9,0.05,0.11,0.16,0.05,0.16,Matches,d9565625
101,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-124,2000,8,1,236,2.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.16,0.14,0.30,0.16,0.30,Matches,215f3907
102,Josh Dasilva,eng ENG,MF,Brentford,24-012,1998,13,6,603,6.7,2,0,2,0,0,1,0,0.30,0.00,0.30,0.30,0.30,0.5,0.5,0.2,0.7,0.07,0.03,0.10,0.07,0.10,Matches,60344e4f
103,Ben Davies,wls WAL,DF,Tottenham,29-194,1993,10,9,815,9.1,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,0.5,0.5,0.8,1.2,0.05,0.08,0.14,0.05,0.14,Matches,44781702
104,Tom Davies,eng ENG,MF,Everton,24-127,1998,7,3,298,3.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.7,0.16,0.04,0.20,0.16,0.20,Matches,9228b07c
105,Craig Dawson,eng ENG,DF,West Ham,32-182,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.03,0.05,0.03,0.05,Matches,3e9e06cb
106,Kevin De Bruyne,be BEL,MF,Manchester City,31-129,1991,12,11,951,10.6,3,9,3,0,0,0,0,0.28,0.85,1.14,0.28,1.14,2.4,2.4,5.2,7.6,0.22,0.50,0.72,0.22,0.72,Matches,e46012d4
107,Siriki Dembélé,ci CIV,FW,Bournemouth,26-058,1996,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,11f54bd5
108,Leander Dendoncker,be BEL,MF,Aston Villa,27-203,1995,6,2,203,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.02,0.15,0.17,0.02,0.17,Matches,5a7301ae
109,Leander Dendoncker,be BEL,MF,Wolves,27-203,1995,4,2,214,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.27,0.02,0.29,0.27,0.29,Matches,5a7301ae
110,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,24-354,1997,8,2,267,3.0,1,0,1,0,0,2,0,0.34,0.00,0.34,0.34,0.34,0.4,0.4,0.3,0.6,0.13,0.08,0.22,0.13,0.22,Matches,2c44a35d
