Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34
,,,,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
142,Fabinho,br BRA,MF,Liverpool,29-013,1993,12,9,817,9.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.02,0.04,0.06,0.02,0.06,Matches,7f3b388c
143,Wout Faes,be BEL,DF,Leicester City,24-216,1998,7,7,630,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.5,0.04,0.04,0.07,0.04,0.07,Matches,9c221d14
144,Bruno Fernandes,pt POR,MF,Manchester Utd,28-058,1994,12,12,1079,12.0,2,1,2,0,0,5,0,0.17,0.08,0.25,0.17,0.25,1.9,1.9,2.4,4.4,0.16,0.20,0.36,0.16,0.36,Matches,507c7bdf
145,Roberto Firmino,br BRA,FWMF,Liverpool,31-034,1991,11,9,782,8.7,6,3,6,0,0,0,0,0.69,0.35,1.04,0.69,1.04,3.9,3.9,1.8,5.7,0.45,0.21,0.66,0.45,0.66,Matches,4c370d81
146,Junior Firpo,es ESP,DF,Leeds United,26-075,1996,2,1,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.10,0.10,0.00,0.10,Matches,24f59bb2
147,Phil Foden,eng ENG,FWMF,Manchester City,22-161,2000,12,10,791,8.8,6,4,6,0,0,1,0,0.68,0.46,1.14,0.68,1.14,3.3,3.3,1.8,5.1,0.37,0.21,0.58,0.37,0.58,Matches,ed1e53f3
148,Wesley Fofana,fr FRA,DF,Leicester City,21-323,2000,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches,132a82f1
149,Wesley Fofana,fr FRA,DF,Chelsea,21-323,2000,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,132a82f1
150,Pablo Fornals,es ESP,MFDF,West Ham,26-256,1996,12,9,759,8.4,1,0,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,0.6,0.6,0.9,1.5,0.07,0.11,0.18,0.07,0.18,Matches,82927de4
151,Adam Forshaw,eng ENG,MF,Leeds United,31-028,1991,3,0,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.79,0.79,0.00,0.79,Matches,9f1938ab
