Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
86,Arthur Melo,br BRA,MF,Liverpool,25,£ 110000 (€ 126760 $124553),£ 5720000 (€ 6591497 $6476777),Unverified estimation,48b3dd60
87,James Maddison,eng ENG,MFFW,Leicester City,25,£ 110000 (€ 126760 $124553),£ 5720000 (€ 6591497 $6476777),,ee38d9c5
88,Jorginho,it ITA,MF,Chelsea,30,£ 110000 (€ 126760 $124553),£ 5720000 (€ 6591497 $6476777),,45db685d
89,Thiago Silva,br BRA,DF,Chelsea,37,£ 110000 (€ 126760 $124553),£ 5720000 (€ 6591497 $6476777),,86e7deaf
90,Eddie Nketiah,eng ENG,FWMF,Arsenal,23,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,a53649b7
91,Hugo Lloris,fr FRA,GK,Tottenham,35,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,8f62b6ee
92,Pierre Højbjerg,dk DEN,MF,Tottenham,26,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,8b04d6c1
93,Andrew Robertson,sct SCO,DF,Liverpool,28,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,2e4f5f03
94,Joël Matip,cm CMR,DF,Liverpool,30,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,b217ef29
95,Diego Carlos,br BRA,DF,Aston Villa,29,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,b4a014b1
96,Leon Bailey,jm JAM,MFFW,Aston Villa,24,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,3a233281
97,João Moutinho,pt POR,MF,Wolves,35,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,f5a00fa4
98,Jonny Evans,nir NIR,DF,Leicester City,34,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,f8fcd2a5
99,Kieran Trippier,eng ENG,DF,Newcastle Utd,31,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,21512407
100,Matt Targett,eng ENG,DF,Newcastle Utd,26,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,e514ab62
101,Ederson,br BRA,GK,Manchester City,28,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,3bb7b8b4
102,Carney Chukwuemeka,eng ENG,CM,Chelsea,18,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,b2f9c73e
103,Hakim Ziyech,ma MAR,MFFW,Chelsea,29,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,6622454d
104,Mateo Kovačić,hr CRO,MF,Chelsea,28,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,79c0821a
105,Amadou Onana,be BEL,MF,Everton,20,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,828657ff
106,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,59e6e5bf
107,James Tarkowski,eng ENG,DF,Everton,29,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,15ea812b
108,Jordan Pickford,eng ENG,GK,Everton,28,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,4806ec67
109,Dean Henderson,eng ENG,GK,Nott'ham Forest,25,£ 100000 (€ 115236 $113230),£ 5200000 (€ 5992270 $5887979),,e5a76dfe
110,Emerson Palmieri,it ITA,DFMF,West Ham,27,£ 95000 (€ 109474 $107569),£ 4940000 (€ 5692657 $5593580),,e0bc6fdc
111,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,£ 94808 (€ 109253 $107351),£ 4930000 (€ 5681133 $5582257),Unverified estimation,0562b7f1
112,Adam Lallana,eng ENG,MFFW,Brighton,34,£ 90385 (€ 104156 $102343),£ 4700000 (€ 5416091 $5321827),,99813635
113,Martinelli,br BRA,MFFW,Arsenal,21,£ 90000 (€ 103712 $101907),£ 4680000 (€ 5393043 $5299181),,48a5a5d6
114,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24,£ 90000 (€ 103712 $101907),£ 4680000 (€ 5393043 $5299181),,9e525177
115,Lucas Moura,br BRA,FWMF,Tottenham,29,£ 90000 (€ 103712 $101907),£ 4680000 (€ 5393043 $5299181),,2b622f01
116,Richarlison,br BRA,MFFW,Tottenham,25,£ 90000 (€ 103712 $101907),£ 4680000 (€ 5393043 $5299181),,fa031b34
117,Gianluca Scamacca,it ITA,FW,West Ham,23,£ 90000 (€ 103712 $101907),£ 4680000 (€ 5393043 $5299181),,8790f988
118,Leander Dendoncker,be BEL,MF,Aston Villa,27,£ 90000 (€ 103712 $101907),£ 4680000 (€ 5393043 $5299181),Unverified estimation,5a7301ae
119,Sven Botman,nl NED,DF,Newcastle Utd,22,£ 90000 (€ 103712 $101907),£ 4680000 (€ 5393043 $5299181),,ccce7025
120,Benjamin Mendy,fr FRA,LB,Manchester City,28,£ 90000 (€ 103712 $101907),£ 4680000 (€ 5393043 $5299181),,5271c8f1
121,Nathan Aké,nl NED,DF,Manchester City,27,£ 90000 (€ 103712 $101907),£ 4680000 (€ 5393043 $5299181),,eaeca114
122,Denis Zakaria,ch SUI,MF,Chelsea,25,£ 90000 (€ 103712 $101907),£ 4680000 (€ 5393043 $5299181),,384d58d9
123,Layvin Kurzawa,fr FRA,DF,Fulham,29,£ 89231 (€ 102826 $101036),£ 4640000 (€ 5346949 $5253889),Unverified estimation,41e7ef1c
124,Tanguy Ndombele,fr FRA,,Tottenham,25,£ 88846 (€ 102383 $100601),£ 4620000 (€ 5323902 $5231243),Unverified estimation,5cdddffa
125,Eric Dier,eng ENG,DF,Tottenham,28,£ 85000 (€ 97951 $96246),£ 4420000 (€ 5093430 $5004782),,ac861941
126,Michail Antonio,jm JAM,FW,West Ham,32,£ 85000 (€ 97951 $96246),£ 4420000 (€ 5093430 $5004782),,ac05f970
127,Joe Gomez,eng ENG,DF,Liverpool,25,£ 85000 (€ 97951 $96246),£ 4420000 (€ 5093430 $5004782),Unverified estimation,7a11550b
128,Matheus Nunes,pt POR,MF,Wolves,23,£ 85000 (€ 97951 $96246),£ 4420000 (€ 5093430 $5004782),,e6af02e0
129,Joelinton,br BRA,MFFW,Newcastle Utd,25,£ 85000 (€ 97951 $96246),£ 4420000 (€ 5093430 $5004782),,c17bfb65
130,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,£ 80769 (€ 93075 $91455),£ 4200000 (€ 4839911 $4755676),,0442183b
131,Ben Davies,wls WAL,DF,Tottenham,29,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),Unverified estimation,44781702
132,Thilo Kehrer,de GER,DF,West Ham,25,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),,51dbeea9
133,Matty Cash,pl POL,DF,Aston Villa,24,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),Unverified estimation,2389cdc2
134,Tyrone Mings,eng ENG,DF,Aston Villa,29,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),,8397a50c
135,Boubakary Soumaré,fr FRA,MF,Leicester City,23,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),,ae59b359
136,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,25,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),,c92e1a31
137,Ricardo Pereira,pt POR,RB,Leicester City,28,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),,75a72a99
138,Ryan Bertrand,eng ENG,LB,Leicester City,33,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),,01226327
139,Chris Wood,nz NZL,FW,Newcastle Utd,30,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),Unverified estimation,4e9a0555
140,Joe Willock,eng ENG,MF,Newcastle Utd,22,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),Unverified estimation,a3b03921
141,Mason Mount,eng ENG,MF,Chelsea,23,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),,9674002f
142,Idrissa Gana Gueye,sn SEN,MF,Everton,32,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),Unverified estimation,72c812f3
143,Michael Keane,eng ENG,DF,Everton,29,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),Unverified estimation,c5b7c315
144,Salomón Rondón,ve VEN,FW,Everton,32,£ 80000 (€ 92189 $90584),£ 4160000 (€ 4793816 $4710383),Unverified estimation,b318a643
145,Joachim Andersen,dk DEN,DF,Crystal Palace,26,£ 79423 (€ 91524 $89931),£ 4130000 (€ 4759246 $4676414),Unverified estimation,e34fc66d
146,Vicente Guaita,es ESP,GK,Crystal Palace,35,£ 76923 (€ 88643 $87100),£ 4000000 (€ 4609439 $4529215),,ab13a5aa
147,Nélson Semedo,pt POR,DF,Wolves,28,£ 76923 (€ 88643 $87100),£ 4000000 (€ 4609439 $4529215),,d04b94db
148,Cédric Soares,pt POR,DF,Arsenal,30,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),,839c14e1
149,Phil Jones,eng ENG,CB,Manchester Utd,30,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),,def899bd
150,Tyrell Malacia,nl NED,DF,Manchester Utd,22,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),Unverified estimation,6b6c793c
151,Theo Walcott,eng ENG,MFFW,Southampton,33,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),,1ecb65be
152,Fraser Forster,eng ENG,GK,Tottenham,34,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),Unverified estimation,c3e39f12
153,Rodrigo Bentancur,uy URU,MFFW,Tottenham,25,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),Unverified estimation,3b8674e6
154,Douglas Luiz,br BRA,MF,Aston Villa,24,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),Unverified estimation,6f7d826d
155,Emi Buendía,ar ARG,MFFW,Aston Villa,25,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),,66b76d44
156,Ollie Watkins,eng ENG,FWMF,Aston Villa,26,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),,aed3a70f
157,Dennis Praet,be BEL,MF,Leicester City,28,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),,86695068
158,Patson Daka,zm ZAM,FW,Leicester City,23,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),Unverified estimation,ca45605e
159,Wilfred Ndidi,ng NGA,MFDF,Leicester City,25,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),,6b47c5db
160,Ben Godfrey,eng ENG,DF,Everton,24,£ 75000 (€ 86427 $84923),£ 3900000 (€ 4494203 $4415984),,9f7c837d
161,Bukayo Saka,eng ENG,MFFW,Arsenal,20,£ 70000 (€ 80665 $79261),£ 3640000 (€ 4194589 $4121585),,bc7dc64d
162,Angelo Ogbonna,it ITA,DF,West Ham,34,£ 70000 (€ 80665 $79261),£ 3640000 (€ 4194589 $4121585),,74b2cd7e
163,Manuel Lanzini,ar ARG,MF,West Ham,29,£ 70000 (€ 80665 $79261),£ 3640000 (€ 4194589 $4121585),,26f6dca8
164,Ibrahima Konaté,fr FRA,DF,Liverpool,23,£ 70000 (€ 80665 $79261),£ 3640000 (€ 4194589 $4121585),,5ed9b537
165,Jacob Ramsey,eng ENG,MF,Aston Villa,21,£ 70000 (€ 80665 $79261),£ 3640000 (€ 4194589 $4121585),,1544f145
166,Jannik Vestergaard,dk DEN,CB,Leicester City,29,£ 70000 (€ 80665 $79261),£ 3640000 (€ 4194589 $4121585),Unverified estimation,1900032e
167,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25,£ 70000 (€ 80665 $79261),£ 3640000 (€ 4194589 $4121585),,2b16cb1a
168,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30,£ 70000 (€ 80665 $79261),£ 3640000 (€ 4194589 $4121585),,3727dd3c
169,Mason Holgate,eng ENG,DF,Everton,25,£ 70000 (€ 80665 $79261),£ 3640000 (€ 4194589 $4121585),,d0042ab9
170,Brandon Williams,eng ENG,LB,Manchester Utd,21,£ 65000 (€ 74903 $73600),£ 3380000 (€ 3894976 $3827187),,5e74d6c8
171,Davinson Sánchez,co COL,DF,Tottenham,26,£ 65000 (€ 74903 $73600),£ 3380000 (€ 3894976 $3827187),,da7b447d
172,Matt Doherty,ie IRL,DF,Tottenham,30,£ 65000 (€ 74903 $73600),£ 3380000 (€ 3894976 $3827187),,d557d734
173,Łukasz Fabiański,pl POL,GK,West Ham,37,£ 65000 (€ 74903 $73600),£ 3380000 (€ 3894976 $3827187),,9328b835
174,Maxwel Cornet,ci CIV,MFFW,West Ham,25,£ 65000 (€ 74903 $73600),£ 3380000 (€ 3894976 $3827187),Unverified estimation,beb391dd
175,Pablo Fornals,es ESP,MFDF,West Ham,26,£ 65000 (€ 74903 $73600),£ 3380000 (€ 3894976 $3827187),,82927de4
176,Tomáš Souček,cz CZE,MF,West Ham,27,£ 65000 (€ 74903 $73600),£ 3380000 (€ 3894976 $3827187),,6613c819
177,Nathaniel Phillips,eng ENG,CB,Liverpool,25,£ 65000 (€ 74903 $73600),£ 3380000 (€ 3894976 $3827187),,515ebe8d
178,Timothy Castagne,be BEL,DF,Leicester City,26,£ 65000 (€ 74903 $73600),£ 3380000 (€ 3894976 $3827187),,197640fd
179,Renan Lodi,br BRA,DF,Nott'ham Forest,24,£ 62308 (€ 71801 $70551),£ 3240000 (€ 3733645 $3668664),Unverified estimation,ed9f7cfe
180,Aaron Ramsdale,eng ENG,GK,Arsenal,24,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),,466fb2c5
181,Scott McTominay,sct SCO,MF,Manchester Utd,25,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),,d93c2511
182,Mohamed Elyounoussi,no NOR,MFDF,Southampton,27,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),,68dc0dac
183,Nathan Redmond,eng ENG,DF,Southampton,28,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),,ab651565
184,Declan Rice,eng ENG,MF,West Ham,23,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),,1c7012b8
185,Jarrod Bowen,eng ENG,MFFW,West Ham,25,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),,79c84d1c
186,Adrián,es ESP,GK,Liverpool,35,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),Unverified estimation,f76e6b4e
187,James Milner,eng ENG,MF,Liverpool,36,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),Unverified estimation,2f90f6b8
188,Jan Bednarek,pl POL,DF,Aston Villa,26,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),,4115ce4e
189,Daniel Podence,pt POR,MFFW,Wolves,26,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),,7fcc71d8
190,Nick Pope,eng ENG,GK,Newcastle Utd,30,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),,4b40d9ca
191,Aleksandar Mitrović,rs SRB,FW,Fulham,27,£ 60000 (€ 69142 $67938),£ 3120000 (€ 3595362 $3532788),,3925dbd6
192,Vitaliy Mykolenko,ua UKR,DFMF,Everton,23,£ 58000 (€ 66837 $65674),£ 3016000 (€ 3475517 $3415028),,30d4a2e5
193,Rodrigo,es ESP,FWMF,Leeds United,31,£ 57692 (€ 66482 $65325),£ 3000000 (€ 3457079 $3396911),,1fb1c435
194,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,29,£ 55962 (€ 64488 $63365),£ 2910000 (€ 3353367 $3295004),,3312f911
195,Mohamed Elneny,eg EGY,MF,Arsenal,30,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,47a34c4f
196,Takehiro Tomiyasu,jp JPN,DF,Arsenal,23,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,b3af9be1
197,Ibrahima Diallo,fr FRA,MF,Southampton,23,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,11ff3d56
198,Moussa Djenepo,ml MLI,DFMF,Southampton,24,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,254147d4
199,Ryan Sessegnon,eng ENG,MFDF,Tottenham,22,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,6aa3e78b
200,Yves Bissouma,ml MLI,MF,Tottenham,25,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),Unverified estimation,6c203af0
201,Jaïro Riedewald,nl NED,DFMF,Crystal Palace,25,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,7a1f2c08
202,James McArthur,sct SCO,CM,Crystal Palace,34,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,cee31595
203,Luka Milivojević,rs SRB,MF,Crystal Palace,31,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,2ce2508a
204,Jefferson Lerma,co COL,MFDF,Bournemouth,27,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,9b5ce51a
205,Saïd Benrahma,dz ALG,MFFW,West Ham,26,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,5a04fd92
206,Luis Díaz,co COL,FWMF,Liverpool,25,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,4a1a9578
207,John McGinn,sct SCO,MF,Aston Villa,27,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,90f91999
208,Nampalys Mendy,sn SEN,MF,Leicester City,30,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,1598599e
209,Emil Krafth,se SWE,DF,Newcastle Utd,27,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,77cf6852
210,Stefan Ortega,de GER,GK,Manchester City,29,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,c1242d4e
211,Edouard Mendy,sn SEN,GK,Chelsea,30,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,33887998
212,Danny Welbeck,eng ENG,FW,Brighton,31,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,ce5143da
213,Conor Coady,eng ENG,DF,Everton,29,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),,2928dca2
214,Séamus Coleman,ie IRL,DF,Everton,33,£ 55000 (€ 63380 $62277),£ 2860000 (€ 3295749 $3238389),Unverified estimation,0420d84f
215,Will Hughes,eng ENG,MF,Crystal Palace,27,£ 53846 (€ 62050 $60970),£ 2800000 (€ 3226607 $3170450),Unverified estimation,a0666d3e
216,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25,£ 53462 (€ 61607 $60535),£ 2780000 (€ 3203560 $3147804),,50e6dc35
217,Nathaniel Chalobah,eng ENG,MF,Fulham,27,£ 51923 (€ 59834 $58793),£ 2700000 (€ 3111371 $3057220),Unverified estimation,422862ea
218,Kenny Tete,nl NED,DF,Fulham,26,£ 50962 (€ 58726 $57704),£ 2650000 (€ 3053753 $3000605),,77d7c96f
219,Marc Guéhi,eng ENG,DF,Crystal Palace,22,£ 50192 (€ 57840 $56833),£ 2610000 (€ 3007659 $2955313),Unverified estimation,d0706b27
220,Albert Sambi Lokonga,be BEL,MF,Arsenal,22,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,1b4f1169
221,Gabriel Dos Santos,br BRA,DF,Arsenal,24,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,67ac5bb8
222,Axel Tuanzebe,eng ENG,CB,Manchester Utd,24,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,2baec6ce
223,Alex McCarthy,eng ENG,GK,Southampton,32,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,36c2ca73
224,Stuart Armstrong,sct SCO,MF,Southampton,30,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,97333cf5
225,James Tomkins,eng ENG,DF,Crystal Palace,33,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,e7ca0439
226,David Brooks,wls WAL,RW,Bournemouth,25,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,dc4cae05
227,Dominic Solanke,eng ENG,FWMF,Bournemouth,24,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,e77dc3b2
228,Marcos Senesi,ar ARG,DF,Bournemouth,25,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),Unverified estimation,35141f4c
229,Neto,br BRA,GK,Bournemouth,33,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),Unverified estimation,a9dc785c
230,Aaron Cresswell,eng ENG,DF,West Ham,32,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,4f974391
231,Nayef Aguerd,ma MAR,DF,West Ham,26,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),Unverified estimation,288e1e13
232,Kostas Tsimikas,gr GRE,DF,Liverpool,26,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,f315ca93
233,Ashley Young,eng ENG,DF,Aston Villa,37,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,be927d03
234,Calum Chambers,eng ENG,DF,Aston Villa,27,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,dc6f5bdd
235,Robin Olsen,se SWE,GK,Aston Villa,32,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,e7ee38c3
236,Diego Costa,es ESP,FW,Wolves,33,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),Unverified estimation,a190d597
237,Pedro Neto,pt POR,FWMF,Wolves,22,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,7ba2eaa9
238,Rúben Neves,pt POR,MFDF,Wolves,25,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,44bfb6c5
239,Wout Faes,be BEL,DF,Leicester City,24,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),Unverified estimation,9c221d14
240,Sean Longstaff,eng ENG,MF,Newcastle Utd,24,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,a2b105e0
241,Julián Álvarez,ar ARG,FW,Manchester City,22,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,15ab5a2b
242,Sergio Gómez,es ESP,DF,Manchester City,21,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),Unverified estimation,01e5f06e
243,Conor Gallagher,eng ENG,MF,Chelsea,22,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),Unverified estimation,c2731c10
244,Pascal Groß,de GER,MFFW,Brighton,31,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),,8aec0537
245,Neal Maupay,fr FRA,FW,Everton,25,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),Unverified estimation,4bcf39f6
246,Daniel James,wls WAL,MF,Fulham,24,£ 50000 (€ 57618 $56615),£ 2600000 (€ 2996135 $2943990),Unverified estimation,c931d9f9
247,Lyanco,br BRA,DF,Southampton,25,£ 48077 (€ 55402 $54438),£ 2500000 (€ 2880899 $2830759),Unverified estimation,b5bf1770
248,Adam Armstrong,eng ENG,FWMF,Southampton,25,£ 47885 (€ 55180 $54220),£ 2490000 (€ 2869376 $2819436),Unverified estimation,68c720b5
249,Michael Olise,fr FRA,MFFW,Crystal Palace,20,£ 47500 (€ 54737 $53784),£ 2470000 (€ 2846328 $2796790),Unverified estimation,c4486bac
250,Robin Koch,de GER,DF,Leeds United,26,£ 46154 (€ 53186 $52260),£ 2400000 (€ 2765663 $2717529),,ea6bc03a
251,Callum Wilson,eng ENG,FW,Newcastle Utd,30,£ 46000 (€ 53009 $52086),£ 2392000 (€ 2756444 $2708470),,c596fcb0
252,Fabio Vieira,pt POR,MF,Arsenal,22,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,6412cc03
253,Tom Heaton,eng ENG,GK,Manchester Utd,36,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,a6de6361
254,James Ward-Prowse,eng ENG,MF,Southampton,27,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,3515d404
255,Jack Butland,eng ENG,GK,Crystal Palace,29,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,cc70a1d5
256,Jack Stephens,eng ENG,DFMF,Bournemouth,28,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,6adbc307
257,Craig Dawson,eng ENG,DF,West Ham,32,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),Unverified estimation,3e9e06cb
258,Keinan Davis,eng ENG,CF,Aston Villa,24,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,9deaf2c8
259,Morgan Sanson,fr FRA,CM,Aston Villa,27,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,6e7f1353
260,Ayoze Pérez,es ESP,MF,Leicester City,29,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,819aa8e7
261,Çağlar Söyüncü,tr TUR,DF,Leicester City,26,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,21166ff4
262,Marc Albrighton,eng ENG,MF,Leicester City,32,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,b827d5b3
263,Matt Ritchie,sct SCO,FW,Newcastle Utd,32,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,71ef519e
264,Lewis Dunk,eng ENG,DF,Brighton,30,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),,282f75f3
265,Asmir Begović,ba BIH,GK,Everton,35,£ 45000 (€ 51856 $50954),£ 2340000 (€ 2696522 $2649591),Unverified estimation,7b4de647
266,Adama Traoré,es ESP,MF,Wolves,26,£ 43077 (€ 49640 $48776),£ 2240000 (€ 2581286 $2536360),,9a28eba4
267,Leandro Trossard,be BEL,MFDF,Brighton,27,£ 42500 (€ 48975 $48123),£ 2210000 (€ 2546715 $2502391),,38ceb24a
268,Junior Firpo,es ESP,DF,Leeds United,25,£ 42308 (€ 48754 $47905),£ 2200000 (€ 2535191 $2491068),Unverified estimation,24f59bb2
269,Miguel Almirón,py PAR,FW,Newcastle Utd,28,£ 42000 (€ 48399 $47557),£ 2184000 (€ 2516754 $2472951),,862a1c15
270,Ryan Fraser,sct SCO,FW,Newcastle Utd,28,£ 42000 (€ 48399 $47557),£ 2184000 (€ 2516754 $2472951),,d56543a0
271,Raúl Jiménez,mx MEX,FW,Wolves,31,£ 41154 (€ 47424 $46599),£ 2140000 (€ 2466050 $2423130),,b561db50
272,Tosin Adarabioyo,eng ENG,DF,Fulham,24,£ 40577 (€ 46759 $45945),£ 2110000 (€ 2431479 $2389161),,c81d773d
