Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
406,Rico Henry,eng ENG,DF,Brentford,25,£ 11923 (€ 13740 $13501),£ 620000 (€ 714463 $702028),,8a3c1dc7
407,Shandon Baptiste,gd GRN,MF,Brentford,24,£ 11923 (€ 13740 $13501),£ 620000 (€ 714463 $702028),,2886c9b5
408,Yoane Wissa,cd COD,FWMF,Brentford,25,£ 11923 (€ 13740 $13501),£ 620000 (€ 714463 $702028),Unverified estimation,2500cef9
409,Harrison Reed,eng ENG,MF,Fulham,27,£ 11923 (€ 13740 $13501),£ 620000 (€ 714463 $702028),,803ae100
410,Kristoffer Klaesson,no NOR,GK,Leeds United,21,£ 10962 (€ 12632 $12412),£ 570000 (€ 656845 $645413),Unverified estimation,3f70db80
411,Jaidon Anthony,eng ENG,MFDF,Bournemouth,22,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),,e4238fb1
412,Caoimhín Kelleher,ie IRL,GK,Liverpool,23,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),Unverified estimation,62d7ef38
413,Curtis Jones,eng ENG,FWMF,Liverpool,21,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),Unverified estimation,4fb9c88f
414,Luke Thomas,eng ENG,DF,Leicester City,21,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),,fc027d02
415,Mark Gillespie,eng ENG,GK,Newcastle Utd,30,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),,e32958b7
416,Vitaly Janelt,de GER,MFDF,Brentford,24,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),,8449d35e
417,Jakub Moder,pl POL,CM,Brighton,23,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),,f230bc30
418,Robert Sánchez,es ESP,GK,Brighton,24,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),,6a713852
419,Andy Lonergan,ie IRL,GK,Everton,38,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),Unverified estimation,165cf989
420,Anthony Gordon,eng ENG,FWMF,Everton,21,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),,2bd83368
421,Jack Colback,eng ENG,MF,Nott'ham Forest,32,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),,963a9201
422,Joe Worrall,eng ENG,DF,Nott'ham Forest,25,£ 10000 (€ 11524 $11323),£ 520000 (€ 599227 $588798),,a5212312
423,Luke Ayling,eng ENG,DF,Leeds United,30,£ 8077 (€ 9308 $9146),£ 420000 (€ 483991 $475568),,420d7c7d
424,Stuart Dallas,nir NIR,RB,Leeds United,31,£ 8077 (€ 9308 $9146),£ 420000 (€ 483991 $475568),,67ca8566
425,Ryan Yates,eng ENG,MF,Nott'ham Forest,24,£ 8077 (€ 9308 $9146),£ 420000 (€ 483991 $475568),,c1fe2a48
426,Ben Pearson,eng ENG,MF,Bournemouth,27,£ 8000 (€ 9219 $9058),£ 416000 (€ 479382 $471038),,a6b461e7
427,Joe Rothwell,eng ENG,MF,Bournemouth,27,£ 8000 (€ 9219 $9058),£ 416000 (€ 479382 $471038),Unverified estimation,10a10454
428,Jordan Zemura,zw ZIM,DF,Bournemouth,22,£ 8000 (€ 9219 $9058),£ 416000 (€ 479382 $471038),Unverified estimation,e8271ad9
429,Siriki Dembélé,ci CIV,FW,Bournemouth,25,£ 8000 (€ 9219 $9058),£ 416000 (€ 479382 $471038),Unverified estimation,11f54bd5
430,Mateusz Klich,pl POL,MFFW,Leeds United,32,£ 7692 (€ 8864 $8710),£ 400000 (€ 460944 $452921),,282679b4
431,Charlie Goode,eng ENG,CB,Brentford,27,£ 7500 (€ 8643 $8492),£ 390000 (€ 449420 $441598),,7aee4dd3
432,Yerson Mosquera,co COL,CB,Wolves,21,£ 7308 (€ 8421 $8275),£ 380000 (€ 437897 $430275),Unverified estimation,1e159d70
433,Pascal Struijk,nl NED,DF,Leeds United,22,£ 7115 (€ 8199 $8057),£ 370000 (€ 426373 $418952),,f4d296e4
434,Liam Cooper,sct SCO,DF,Leeds United,30,£ 6538 (€ 7535 $7404),£ 340000 (€ 391802 $384983),,dc64b8b3
435,Crysencio Summerville,nl NED,MF,Leeds United,20,£ 5769 (€ 6648 $6533),£ 300000 (€ 345708 $339691),Unverified estimation,df04eb4b
436,Loïc Mbe Soh,fr FRA,CB,Nott'ham Forest,21,£ 5577 (€ 6427 $6315),£ 290000 (€ 334184 $328368),,8f534f8e
437,Alejandro Garnacho,,LW,Manchester Utd,18,£ 5000 (€ 5762 $5662),£ 260000 (€ 299614 $294399),Unverified estimation,-9999
438,Anthony Elanga,se SWE,MF,Manchester Utd,20,£ 5000 (€ 5762 $5662),£ 260000 (€ 299614 $294399),,2fba6108
439,Shola Shoretire,eng ENG,RW,Manchester Utd,18,£ 5000 (€ 5762 $5662),£ 260000 (€ 299614 $294399),Unverified estimation,00f0482f
440,Teden Mengi,eng ENG,CB,Manchester Utd,20,£ 5000 (€ 5762 $5662),£ 260000 (€ 299614 $294399),Unverified estimation,91748070
441,Valentino Livramento,eng ENG,RB,Southampton,19,£ 5000 (€ 5762 $5662),£ 260000 (€ 299614 $294399),Unverified estimation,afed6722
442,Brandon Austin,eng ENG,GK,Tottenham,23,£ 5000 (€ 5762 $5662),£ 260000 (€ 299614 $294399),Unverified estimation,5e253986
443,Conor Coventry,ie IRL,MFFW,West Ham,22,£ 5000 (€ 5762 $5662),£ 260000 (€ 299614 $294399),Unverified estimation,a5ca9127
444,Mads Roerslev,dk DEN,DF,Brentford,23,£ 5000 (€ 5762 $5662),£ 260000 (€ 299614 $294399),,57c94db2
445,Eldin Jakupović,ch SUI,GK,Everton,37,£ 5000 (€ 5762 $5662),£ 260000 (€ 299614 $294399),Unverified estimation,1148323a
446,Jan Paul van Hecke,nl NED,DF,Brighton,22,£ 4615 (€ 5319 $5226),£ 240000 (€ 276566 $271753),Unverified estimation,4fd08daa
447,Rayan Aït Nouri,fr FRA,DF,Wolves,21,£ 4423 (€ 5097 $5008),£ 230000 (€ 265043 $260430),,9b398aea
448,Marek Rodák,sk SVK,GK,Fulham,25,£ 4423 (€ 5097 $5008),£ 230000 (€ 265043 $260430),,17acc2ed
449,Moisés Caicedo,ec ECU,MF,Brighton,20,£ 3462 (€ 3989 $3920),£ 180000 (€ 207425 $203815),,16264a81
450,James Hill,eng ENG,CB,Bournemouth,20,£ 3000 (€ 3457 $3397),£ 156000 (€ 179768 $176639),Unverified estimation,69942fb3
451,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,19,£ 3000 (€ 3457 $3397),£ 156000 (€ 179768 $176639),Unverified estimation,de31038e
452,Toti Gomes,pt POR,DF,Wolves,23,£ 2692 (€ 3103 $3049),£ 140000 (€ 161330 $158523),Unverified estimation,f0caab96
453,Chem Campbell,,AM,Wolves,19,£ 2500 (€ 2881 $2831),£ 130000 (€ 149807 $147199),Unverified estimation,-9999
